,no_of_cols,mean_mse,median_mse,knn_mse,mf_mse,dw_mse,nipals_mse,em_mse,mi_mse,mean_r2,median_r2,knn_r2,mf_r2,nipals_r2,dw_r2,em_r2,mi_r2
0,3,14.843361308622226,14.651589425606955,69.63551552018461,884.3320982581205,583.2975045236551,10035.438670140386,5030.291106396886,655.5294107489227,0.9698531363802919,0.9696640571009151,0.963474169450549,0.9595666550382104,0.875834194062653,-1.072553046218386,0.881210891762121,0.9413129613661284
1,4,11.91273561663417,11.764471654509045,28.031418336925785,639.9107989111517,583.2975045236551,10035.438670140386,4073.2224605984243,20.582859757200477,0.9765155494931891,0.9763413171342086,0.973009281115641,0.9562626061212491,0.875834194062653,-1.072553046218386,0.8876013219353207,0.9582587401810531
2,5,884.6832970779749,885.0036054993737,887.727722792627,894.5803669821553,1703.2757044332607,10035.438670140386,4336.572391612574,889.2135153714895,0.8380556007866989,0.8379274195767021,0.8349787983833382,0.8382636802706038,0.875834194062653,-1.072553046218386,0.7599447950479497,0.8249649375597479
3,6,2900.7414717588385,2901.0538976709645,2901.8147193739173,2950.863005290608,3025.711491924243,10035.438670140386,5604.38823486811,2898.689785827566,0.7787674669510309,0.7785691417353148,0.7750659073858395,0.7794226497939216,0.875834194062653,-1.072553046218386,0.704545496589776,0.7684765454510313
4,7,2386.3382931082056,2386.4701078215526,2401.2418733641393,2402.4278269584215,2470.226258008687,10035.438670140386,4706.037441621948,2385.8848086286207,0.8119190183282737,0.807306068834108,0.8082299779683101,0.8143108452444522,0.875834194062653,-1.072553046218386,0.7343297186929364,0.7952288983902098
5,8,327.7196858816083,328.13129983806385,2720.6385755820393,353.0980762239101,408.85243013032584,10035.438670140386,2578.1346670651947,327.0860606708804,0.9412883309369982,0.9294022145269294,0.9150814055028688,0.9556083316141959,0.875834194062653,-1.072553046218386,0.851135812424556,0.9415690420102003
6,9,43.355447456525994,43.3865681231847,400.4127971898005,1736.6985278669772,43.43555842248086,10035.438670140386,1987.8807869794784,45.870607873402385,0.9488044800061454,0.9348636959186796,0.9235760001415306,0.9576588153407157,0.875834194062653,-1.072553046218386,0.8567501084672186,0.9606970849263438
7,10,7300.379028911334,7300.616121690073,7306.074231339275,7444.121360738795,7306.628346623326,10035.438670140386,8485.015075652398,7302.686456082617,0.8548974286815504,0.8435433910355389,0.868060673474375,0.8709756748947777,-3116.775611257294,-1.072553046218386,0.7703642639493156,0.8667436400003797
